caller_number,callee_number,timestamp,duration_seconds,cell_tower_location
9812345601,9823456712,2026-08-01T09:15:00,120,Rajkot-Central
9812345601,9823456712,2026-08-01T09:20:00,45,Rajkot-Central
9812345601,9823456712,2026-08-01T09:35:00,90,Rajkot-Central
9812345601,9823456712,2026-08-01T09:50:00,30,Rajkot-Central
9812345601,9823456712,2026-08-01T10:00:00,200,Rajkot-Central
9823456712,9834567823,2026-08-01T11:00:00,60,Rajkot-East
9834567823,9845678934,2026-08-02T14:20:00,300,Ahmedabad-North
9812345601,9856789045,2026-08-03T08:05:00,15,Rajkot-Central
9856789045,9867890156,2026-08-03T18:45:00,240,Surat-West
9823456712,9878901267,2026-08-04T12:00:00,50,Rajkot-East
